title,release_date,early_access
Lost Summoner Kitty,2018-01-04,False
Ironbound,2018-01-04,False
Real Pool 3D - Poolians,2017-07-24,False
弹炸人2222,2017-12-07,False
nan,nan,False
Battle Royale Trainer,2018-01-04,False
SNOW - All Access Basic Pass,2018-01-04,False
SNOW - All Access Pro Pass,2018-01-04,False
SNOW - All Access Legend Pass,2018-01-04,False
Race,2018-01-04,False
Uncanny Islands,Soon..,True
nan,nan,False
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,False
Beach Rules,2018-01-04,False
Planetarium 2 - Zen Odyssey,2018-01-03,False
The first thrust of God,2018-01-03,False
SNOW - Starter Pack,2018-01-03,False
The first thrust of God - All Aircrafts,2018-01-03,False
SNOW - Lifetime Pack,2018-01-03,False
nan,nan,True
nan,nan,True
The Warrior Of Treasures,2018-01-03,False
nan,nan,True
RC Plane 3 - Canyon Scenario,2017-12-22,False
RC Plane 3 - F-53B,2017-12-23,False
DinoBlaster,2018-01-03,False
Robotpencil Presents: Understanding 3D for Concept,2018-01-03,False
Carmageddon Max Pack,1997-06-30,False
Half-Life,1998-11-08,False
Fallen Mage,2016-11-25,False
nan,nan,False
Lost Cities,2018-01-01,False
Twisted Enhanced Edition,2018-01-01,False
Vaporwave Simulator,2018-01-01,False
Tactics Forever,2018-01-01,False
Christmas Santa Troubles,2017-12-30,False
nan,nan,False
Underdone - Soundtrack,2018-01-01,False
Bitcoin Clicker,2018-01-01,False
Disciples II: Gallean's Return,2006-07-06,False
Disciples II: Rise of the Elves,2006-07-06,False
The Ship: Murder Party,2006-07-11,False
United Tactics,nan,False
Life of Rome,2017,True
Idle Adventure,Beta测试已开启,True
nan,nan,True
Souland,2017-12-29,True
Darkness and a Crowd,2018-03-30,False
TAROTICA VOO DOO,2017-12-29,False
Chronicles of Vinland,2017-12-29,True
Orbitality,2017-12-29,False
nan,nan,False
Atomic Adam: Episode 1,2017-12-30,False
nan,nan,False
Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,False
Advent Rising,2005-08-09,False
DEFCON,2006-09-29,False
The Ship: Single Player,2006-11-20,False
Garry's Mod,2006-11-29,False
RACE - The WTCC Game,2006-11-24,False
