title,release_date,genres
Lost Summoner Kitty,2018-01-04,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
Ironbound,2018-01-04,"['Free to Play', 'Indie', 'RPG', 'Strategy']"
Real Pool 3D - Poolians,2017-07-24,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']"
弹炸人2222,2017-12-07,"['Action', 'Adventure', 'Casual']"
nan,nan,nan
Battle Royale Trainer,2018-01-04,"['Action', 'Adventure', 'Simulation']"
SNOW - All Access Basic Pass,2018-01-04,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
SNOW - All Access Pro Pass,2018-01-04,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
SNOW - All Access Legend Pass,2018-01-04,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
Race,2018-01-04,"['Casual', 'Indie', 'Racing', 'Simulation']"
Uncanny Islands,Soon..,"['Action', 'Indie', 'Simulation', 'Early Access']"
nan,nan,nan
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
Beach Rules,2018-01-04,"['Casual', 'Indie']"
Planetarium 2 - Zen Odyssey,2018-01-03,"['Casual', 'Indie', 'Simulation']"
The first thrust of God,2018-01-03,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
SNOW - Starter Pack,2018-01-03,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
The first thrust of God - All Aircrafts,2018-01-03,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
SNOW - Lifetime Pack,2018-01-03,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
nan,nan,nan
nan,nan,nan
The Warrior Of Treasures,2018-01-03,"['Action', 'Adventure', 'Indie']"
nan,nan,nan
RC Plane 3 - Canyon Scenario,2017-12-22,"['Racing', 'Simulation', 'Sports']"
RC Plane 3 - F-53B,2017-12-23,"['Racing', 'Simulation', 'Sports']"
DinoBlaster,2018-01-03,"['Action', 'Indie']"
Robotpencil Presents: Understanding 3D for Concept,2018-01-03,nan
Carmageddon Max Pack,1997-06-30,"['Action', 'Indie', 'Racing']"
Half-Life,1998-11-08,['Action']
Fallen Mage,2016-11-25,"['Action', 'Indie', 'RPG']"
nan,nan,nan
Lost Cities,2018-01-01,"['Casual', 'Indie', 'Strategy']"
Twisted Enhanced Edition,2018-01-01,['Action']
Vaporwave Simulator,2018-01-01,"['Casual', 'Indie', 'Simulation']"
Tactics Forever,2018-01-01,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']"
Christmas Santa Troubles,2017-12-30,"['Adventure', 'Casual', 'Indie']"
nan,nan,nan
Underdone - Soundtrack,2018-01-01,"['Action', 'Adventure', 'RPG']"
Bitcoin Clicker,2018-01-01,"['Adventure', 'Casual', 'Indie', 'RPG']"
Disciples II: Gallean's Return,2006-07-06,['Strategy']
Disciples II: Rise of the Elves,2006-07-06,['Strategy']
The Ship: Murder Party,2006-07-11,"['Action', 'Indie', 'RPG']"
United Tactics,nan,['Strategy']
Life of Rome,2017,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
Idle Adventure,Beta测试已开启,"['Adventure', 'Free to Play', 'RPG', 'Early Access']"
nan,nan,nan
Souland,2017-12-29,"['Action', 'Indie', 'Strategy', 'Early Access']"
Darkness and a Crowd,2018-03-30,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
TAROTICA VOO DOO,2017-12-29,"['Action', 'Adventure', 'Indie', 'RPG']"
Chronicles of Vinland,2017-12-29,"['Casual', 'Strategy', 'Early Access']"
Orbitality,2017-12-29,"['Action', 'Indie']"
nan,nan,nan
Atomic Adam: Episode 1,2017-12-30,"['Action', 'Adventure', 'Casual']"
nan,nan,nan
Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
Advent Rising,2005-08-09,['Action']
DEFCON,2006-09-29,"['Indie', 'Strategy']"
The Ship: Single Player,2006-11-20,"['Action', 'Indie', 'RPG']"
Garry's Mod,2006-11-29,"['Indie', 'Simulation']"
RACE - The WTCC Game,2006-11-24,['Racing']
Zen of Sudoku,2006-12-14,"['Casual', 'Indie']"
Gumboy - Crazy Adventures™,2006-12-19,"['Casual', 'Indie']"
Ghost Master®,2003-08-23,['Strategy']
Vegas: Make It Big™,2006-12-21,['Strategy']
Dreamfall: The Longest Journey,2006-04-17,"['Adventure', 'RPG']"
FlatOut 2™,2006-08-01,['Racing']
FlatOut,2005-07-12,['Racing']
Lost Planet™: Extreme Condition,2007-06-26,"['Action', 'Adventure']"
CivCity: Rome,2006-07-24,['Strategy']
Arx Fatalis,2002-11-12,['RPG']
The Longest Journey,2000-11-17,"['Action', 'Adventure', 'RPG']"
Civilization IV®: Warlords,2006-07-24,['Strategy']
Railroad Tycoon 3,2003-10-23,['Strategy']
Sid Meier's Railroads!,2006-10-16,['Strategy']
nan,nan,nan
Railroad Tycoon II Platinum,1998-10-31,['Strategy']
RIP - Trilogy™,2007-06-01,"['Casual', 'Indie']"
X-COM: Terror From the Deep,1995-04-01,['Strategy']
Tomb Raider: Anniversary,2007-06-05,"['Action', 'Adventure']"
Devil May Cry® 3 Special Edition,2006-05-23,['Action']
Sam &amp; Max 101: Culture Shock,2006-10-17,"['Action', 'Adventure']"
Final DOOM,1996-06-17,['Action']
Vigil: Blood Bitterness™,2007-06-29,"['Indie', 'RPG']"
