title,release_date,metascore
Lost Summoner Kitty,2018-01-04,nan
Ironbound,2018-01-04,nan
Real Pool 3D - Poolians,2017-07-24,nan
弹炸人2222,2017-12-07,nan
nan,nan,nan
Battle Royale Trainer,2018-01-04,nan
SNOW - All Access Basic Pass,2018-01-04,nan
SNOW - All Access Pro Pass,2018-01-04,nan
SNOW - All Access Legend Pass,2018-01-04,nan
Race,2018-01-04,nan
Uncanny Islands,Soon..,nan
nan,nan,nan
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,nan
Beach Rules,2018-01-04,nan
Planetarium 2 - Zen Odyssey,2018-01-03,nan
The first thrust of God,2018-01-03,nan
SNOW - Starter Pack,2018-01-03,nan
The first thrust of God - All Aircrafts,2018-01-03,nan
SNOW - Lifetime Pack,2018-01-03,nan
nan,nan,nan
nan,nan,nan
The Warrior Of Treasures,2018-01-03,nan
nan,nan,nan
RC Plane 3 - Canyon Scenario,2017-12-22,nan
RC Plane 3 - F-53B,2017-12-23,nan
DinoBlaster,2018-01-03,nan
Robotpencil Presents: Understanding 3D for Concept,2018-01-03,nan
Carmageddon Max Pack,1997-06-30,nan
Half-Life,1998-11-08,96
Fallen Mage,2016-11-25,nan
nan,nan,nan
Lost Cities,2018-01-01,nan
Twisted Enhanced Edition,2018-01-01,nan
Vaporwave Simulator,2018-01-01,nan
Tactics Forever,2018-01-01,nan
Christmas Santa Troubles,2017-12-30,nan
nan,nan,nan
Underdone - Soundtrack,2018-01-01,nan
Bitcoin Clicker,2018-01-01,nan
Disciples II: Gallean's Return,2006-07-06,84
Disciples II: Rise of the Elves,2006-07-06,80
The Ship: Murder Party,2006-07-11,76
United Tactics,nan,nan
Life of Rome,2017,nan
Idle Adventure,Beta测试已开启,nan
nan,nan,nan
Souland,2017-12-29,nan
Darkness and a Crowd,2018-03-30,nan
TAROTICA VOO DOO,2017-12-29,nan
Chronicles of Vinland,2017-12-29,nan
Orbitality,2017-12-29,nan
nan,nan,nan
Atomic Adam: Episode 1,2017-12-30,nan
nan,nan,nan
Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,nan
Advent Rising,2005-08-09,70
DEFCON,2006-09-29,84
The Ship: Single Player,2006-11-20,NA
Garry's Mod,2006-11-29,NA
RACE - The WTCC Game,2006-11-24,NA
Zen of Sudoku,2006-12-14,NA
Gumboy - Crazy Adventures™,2006-12-19,69
Ghost Master®,2003-08-23,81
Vegas: Make It Big™,2006-12-21,NA
Dreamfall: The Longest Journey,2006-04-17,75
FlatOut 2™,2006-08-01,76
FlatOut,2005-07-12,72
Lost Planet™: Extreme Condition,2007-06-26,66
CivCity: Rome,2006-07-24,67
Arx Fatalis,2002-11-12,77
The Longest Journey,2000-11-17,91
Civilization IV®: Warlords,2006-07-24,84
Railroad Tycoon 3,2003-10-23,80
Sid Meier's Railroads!,2006-10-16,77
nan,nan,nan
