title,release_date,sentiment
Lost Summoner Kitty,2018-01-04,nan
Ironbound,2018-01-04,Mostly Positive
Real Pool 3D - Poolians,2017-07-24,Mostly Positive
弹炸人2222,2017-12-07,nan
nan,nan,nan
Battle Royale Trainer,2018-01-04,Mixed
SNOW - All Access Basic Pass,2018-01-04,nan
SNOW - All Access Pro Pass,2018-01-04,nan
SNOW - All Access Legend Pass,2018-01-04,nan
Race,2018-01-04,nan
Uncanny Islands,Soon..,nan
nan,nan,nan
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,nan
Beach Rules,2018-01-04,nan
Planetarium 2 - Zen Odyssey,2018-01-03,nan
The first thrust of God,2018-01-03,1 user reviews
SNOW - Starter Pack,2018-01-03,nan
The first thrust of God - All Aircrafts,2018-01-03,nan
SNOW - Lifetime Pack,2018-01-03,nan
nan,nan,nan
nan,nan,nan
The Warrior Of Treasures,2018-01-03,3 user reviews
nan,nan,8 user reviews
RC Plane 3 - Canyon Scenario,2017-12-22,nan
RC Plane 3 - F-53B,2017-12-23,nan
DinoBlaster,2018-01-03,nan
Robotpencil Presents: Understanding 3D for Concept,2018-01-03,nan
Carmageddon Max Pack,1997-06-30,Very Positive
Half-Life,1998-11-08,Overwhelmingly Positive
Fallen Mage,2016-11-25,nan
nan,nan,8 user reviews
Lost Cities,2018-01-01,nan
Twisted Enhanced Edition,2018-01-01,nan
Vaporwave Simulator,2018-01-01,Mostly Positive
Tactics Forever,2018-01-01,nan
Christmas Santa Troubles,2017-12-30,nan
nan,nan,nan
Underdone - Soundtrack,2018-01-01,nan
Bitcoin Clicker,2018-01-01,Mixed
Disciples II: Gallean's Return,2006-07-06,Mostly Positive
Disciples II: Rise of the Elves,2006-07-06,Very Positive
The Ship: Murder Party,2006-07-11,Very Positive
United Tactics,nan,nan
Life of Rome,2017,nan
Idle Adventure,Beta测试已开启,nan
nan,nan,nan
Souland,2017-12-29,nan
Darkness and a Crowd,2018-03-30,nan
TAROTICA VOO DOO,2017-12-29,6 user reviews
Chronicles of Vinland,2017-12-29,Mixed
Orbitality,2017-12-29,1 user reviews
nan,nan,nan
Atomic Adam: Episode 1,2017-12-30,5 user reviews
nan,nan,nan
Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,2 user reviews
Advent Rising,2005-08-09,Mostly Positive
DEFCON,2006-09-29,Very Positive
The Ship: Single Player,2006-11-20,Mixed
Garry's Mod,2006-11-29,Overwhelmingly Positive
RACE - The WTCC Game,2006-11-24,Mostly Positive
Zen of Sudoku,2006-12-14,Very Positive
Gumboy - Crazy Adventures™,2006-12-19,Mixed
Ghost Master®,2003-08-23,Very Positive
Vegas: Make It Big™,2006-12-21,Mostly Positive
Dreamfall: The Longest Journey,2006-04-17,Very Positive
FlatOut 2™,2006-08-01,Very Positive
FlatOut,2005-07-12,Very Positive
Lost Planet™: Extreme Condition,2007-06-26,Mostly Positive
CivCity: Rome,2006-07-24,Mostly Positive
Arx Fatalis,2002-11-12,Very Positive
The Longest Journey,2000-11-17,Very Positive
Civilization IV®: Warlords,2006-07-24,Very Positive
Railroad Tycoon 3,2003-10-23,Mostly Positive
Sid Meier's Railroads!,2006-10-16,Mixed
nan,nan,nan
Railroad Tycoon II Platinum,1998-10-31,Very Positive
RIP - Trilogy™,2007-06-01,Mixed
X-COM: Terror From the Deep,1995-04-01,Very Positive
Tomb Raider: Anniversary,2007-06-05,Very Positive
Devil May Cry® 3 Special Edition,2006-05-23,Mixed
Sam &amp; Max 101: Culture Shock,2006-10-17,Very Positive
Final DOOM,1996-06-17,Very Positive
Vigil: Blood Bitterness™,2007-06-29,Very Negative
